Key,AppliesTo,EditorKind,SourceKind,CurrentQuality,CurrentTrustBucket,DescriptionShape,DescriptionSha256,SourceCount,SameKeyHigherQualityElsewhere,HigherQualityContexts,ProposedDisposition,ReviewReason
DamageReducesReadiness,Techno,Boolean,Yuri,community-verified-obsolete-guardrail-p1-20260603,Obsolete,RawLegacyFragment,2C22B5E3268350E944D4F81C4BE2D4D6C7987F3246AA87B877A4B19382C68198,2,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
DamageSelf,Techno,Reference,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,A4C2AAD01570839671A6672DB94F1C3C7255881D69A648F3413722081125A08D,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DamageSmokeOffset,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,A465A447CE3A2DDAA438E768CA310490632FDDA91992BA271BE5A0A09E7E9EEC,2,True,Building,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DamageSound,Techno,Reference,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,FFFAA2713C340C2296677F033FD8B5336124703AC78C7A76D9174061DA1DEA21,2,True,Building,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DamageToFirestormDamageCoefficient,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,98CA29181CF493255496AF3B42147969FCAAE9813FDCDF1D1E3A51C4C863410A,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DamSmkOffScrnRel,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,D31D4DAD2815390C60221A26C0F9FA185D422476E585ED868C61991B3B80DA44,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DarkGreen,Global,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,DD75A1057B8D962149A2F2D1E6A3E6461E29B41C25F51328BED5DFEC4C6B344B,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
DarkGreen,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,5BFA786A75D60E670F7367150F11E2D47A4E5D70DFE0DE2A8170B06658CAD0FE,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DarkSky,Global,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,CE82E203BB277BC2390E2DB754E03B981ED6CFD07F86A52744DB3A330C2DF452,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
DarkSky,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,0019B7044768B91E37ED6BC981800652632C522EBCE6AB61D1C28481CED2C56C,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
Deacc,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,D74B1FB81263B4E4E4734294A2B37DD59058B8C74016DE4FF3C742641ED97BEA,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DeactivateSound,Global,Text,Yuri,auto-extracted,AutoExtracted,ShortDescription,6890B56334FB919E146128D7D3FA78F3074E368BC8FAA628032D5D5ECD28FD3A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DeadBodies,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,5E3BB458B086E4A500A356D618A9C30A3434857121F0B8A6BF7011AA4BF297DC,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DeathAnims,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,0F27B75EBA9BC62AFEA2DEE86FE1D1692618C267366CB9E2C28AA45973D6160A,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DeathWeapon,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,8B39A51854BDCABFFC9B35B227C7E0909C25F431DF418222E515574BA081F184,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DeathWeapon,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,2EC79DFAA3268D6605A6B19D583CAB8834BD3692637A3EC41C06D975A2BD582F,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DeathWeaponDamageModifier,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,8D2C36B8A2138CEC607AD95043A2DBC3990AAEE08AE70BD8253D44B16C2491B8,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
Debris,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,9E0514808A0B75A09749824198BB27F5D2A1CB858D827A22C84C57936B924550,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
Debris.Conventional,Warhead,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
DebrisAnims,Techno,Reference,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,A8DD9AD151EB72CB32D7CA2840FB80AE27D2689DEB16509BD75A1EB76765850C,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DebrisAnims,Warhead,Reference,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,6AB45BE9CFA585F756475B56537607D6D425B4D36DE0E90A9DF14C0A57095791,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
DebrisMaximums,Techno,Integer,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,159F9A9AA274B66258CE15F725E0B0F0F1B64651488D75CE5BAFBCAB0B1AB829,2,True,Vehicle,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DebrisMaximums,Warhead,Integer,Phobos,auto-extracted,AutoExtracted,SpecificOrNeedsReview,97CEBE14D758B4168AD63D6FABB630A75FFF365193B37468D74EB66BCAFC964C,1,True,Vehicle,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
DebrisMaximums,Weapon,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,BF189AD3A2C45689A26FFE82C49ACE286CDF1878002FFB4460882245D8BA348B,1,True,Vehicle,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DebrisMinimums,Techno,Integer,Phobos,auto-extracted,AutoExtracted,SpecificOrNeedsReview,97CEBE14D758B4168AD63D6FABB630A75FFF365193B37468D74EB66BCAFC964C,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
DebrisMinimums,Warhead,Integer,Phobos,auto-extracted,AutoExtracted,SpecificOrNeedsReview,97CEBE14D758B4168AD63D6FABB630A75FFF365193B37468D74EB66BCAFC964C,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
DebrisSmokeSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,RawLegacyFragment,69AD99679BFC8172F0D0F80C704B7ABD7F017E2ECAEE06A4408F3582C8C86ACF,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DebrisTypes,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,E83AC5AE9BD429FCC764234F8917D27650FDAA6BD791AB086F8E7859E53E98AA,2,True,Vehicle,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DebrisTypes,Weapon,Reference,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,F219597835645181F33DED681EEA44C0D81AE7002574CCCE36345E6FB690BE91,1,True,Vehicle,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DebrisTypes.Limit,Techno,Boolean,Phobos,community-reference-inferred-phobos-20260603,Inferred,UniformInferredTemplate,1727F67CE5C146734EB264C79B79793317B1A85E4F5988F1E7AC8CA6B70B09AA,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DebrisTypes.Limit,Warhead,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
DecloakDamagedTargets,Warhead,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
DefaultChronoSound,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,EA5913238BC1916A6F3CCA6A9A08782A31F71B27BF41508B70F46729AF3DC8BD,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultDebrisSmokeSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,E943B63A9B35699A953D7334EC76B8C227239AA407F6270E3BFAD6D1EFC54B84,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultDebrisSmokeSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,3008B21A312307B49BC06B53C5A73153D20EE9B6A8777CB4604B76974C559946,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultDisguise,Infantry,Reference,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,BF032A839C6FDDA8C0B49BCF28F3060427C0CA946FC4A522BD9786C816CD81B5,2,True,Side,SupersededRemove,Official Ares documentation places DefaultDisguise on Side; retained source-verified Side row replaces this Infantry fallback.
DefaultFirestormExplosionSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,945485FD4CE974AE30228DC7D99B4722974EF0FDFBD077E66D7335D71C1924E8,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultFirestormExplosionSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,B9917DDADAB098A62F815800A0A9CD331622B1C6E1CA61FC023012771CE341C9,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultFireStreamSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,5CBE14371921E354DD1E7039054C6D06CF2E515E49BE5A798CE0E86BC172CF9D,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultFireStreamSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,3ED102A85218C23152D42350507213394230D918E91D0FAE29CD5647F196C1A8,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultInfantrySelectBox,Building,Text,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,9EB58CC33D6AD995C669DBDF063535C9332309B0C899405A1D6417360FAA35A5,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
DefaultLargeGreySmokeSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,3CD913F5804A305F738C087FDDDBCEE10A420BB98E02E64C983636112C455615,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultLargeGreySmokeSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,7A98EAC69B272372154C64F37970477AABF23E40705D34FD0D7E4D5C803612CB,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultLargeRedSmokeSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,C119AB43F6F8759BE19ECA477BBDC7511E55E69944C7F91CE96EE91D64B3D3CF,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultLargeRedSmokeSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,6DFB86B63244001934CA2074930E6C138C24C75601E041EA4B0BA2EF6833D791,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultLS640BkgdName,Global,Text,Phobos,name-inferred-ui-fallback-p1-20260603,Inferred,SpecificOrNeedsReview,397FC10EEAB8DB640D811AB99F0389EDD215F3F6D68312AFEB7AD85C15BC0AAC,2,False,,RetainReviewed,Specific non-template inferred row retained with its existing recognized Inferred trust state; no source-verified promotion was claimed.
DefaultLS640BriefLocX,Global,Integer,Phobos,name-inferred-ui-fallback-p1-20260603,Inferred,SpecificOrNeedsReview,397FC10EEAB8DB640D811AB99F0389EDD215F3F6D68312AFEB7AD85C15BC0AAC,2,False,,RetainReviewed,Specific non-template inferred row retained with its existing recognized Inferred trust state; no source-verified promotion was claimed.
DefaultLS640BriefLocY,Global,Integer,Phobos,name-inferred-ui-fallback-p1-20260603,Inferred,SpecificOrNeedsReview,397FC10EEAB8DB640D811AB99F0389EDD215F3F6D68312AFEB7AD85C15BC0AAC,2,False,,RetainReviewed,Specific non-template inferred row retained with its existing recognized Inferred trust state; no source-verified promotion was claimed.
DefaultLS800BkgdName,Global,Text,Phobos,name-inferred-ui-fallback-p1-20260603,Inferred,SpecificOrNeedsReview,397FC10EEAB8DB640D811AB99F0389EDD215F3F6D68312AFEB7AD85C15BC0AAC,2,False,,RetainReviewed,Specific non-template inferred row retained with its existing recognized Inferred trust state; no source-verified promotion was claimed.
DefaultLS800BkgdPal,Global,Text,Phobos,name-inferred-ui-fallback-p1-20260603,Inferred,SpecificOrNeedsReview,397FC10EEAB8DB640D811AB99F0389EDD215F3F6D68312AFEB7AD85C15BC0AAC,2,False,,RetainReviewed,Specific non-template inferred row retained with its existing recognized Inferred trust state; no source-verified promotion was claimed.
DefaultLS800BriefLocX,Global,Integer,Phobos,name-inferred-ui-fallback-p1-20260603,Inferred,SpecificOrNeedsReview,397FC10EEAB8DB640D811AB99F0389EDD215F3F6D68312AFEB7AD85C15BC0AAC,2,False,,RetainReviewed,Specific non-template inferred row retained with its existing recognized Inferred trust state; no source-verified promotion was claimed.
DefaultLS800BriefLocY,Global,Integer,Phobos,name-inferred-ui-fallback-p1-20260603,Inferred,SpecificOrNeedsReview,397FC10EEAB8DB640D811AB99F0389EDD215F3F6D68312AFEB7AD85C15BC0AAC,2,False,,RetainReviewed,Specific non-template inferred row retained with its existing recognized Inferred trust state; no source-verified promotion was claimed.
DefaultMirageDisguises,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,7671614D4BD030F898581A43F5DEE59760596CA8D5D9877D253A0D8D1B782C52,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultMirageDisguises,Vehicle,Integer,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,CFEC40C80BE3407488DCA0EC4B79C4E7EE3916D93C6312A27A5816A952E05D26,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
DefaultRepairParticleSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,4A7C75BC1257E219B3EF3DAAB437496139E563B12A7B251046BCC947CF606B1B,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultRepairParticleSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,78B92177B41C1E089E080F7A08CB8F7E6D8758E86506AADE5CA7B551A9F7E2D0,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultSmallGreySmokeSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,1FFAA4BAC2132862CC8D72993B43FB4A2341B29AF7299E6C9E6CDC3FD549C19C,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultSmallGreySmokeSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,06ECABCA579C2FD7D60BB87A1EA9449FC23AF6AF08CFA1D8FB207EFA617E6014,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultSmallRedSmokeSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,B32E38423D1AA2464439250F1CB5D18CC97EBD372BB6983B0EE032075DF91A8F,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultSmallRedSmokeSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,49B64983CB33EC9F473C0263F4E56B7C15BE8B8E0F93B8294363E73A2E5C02F5,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultSparkSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,BCE6E667CFC3DA1659601C053866536DE7A9D9665117F84E75127E664CBBE86C,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultSparkSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,E79F21FFBC3B2549B374CFB1CD4D2D338B8633BB973A6D3CD98AEA7972A1A641,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultTestParticleSystem,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,7756D9CE9E334398066D282C1E5388D7AC0C62DBD147E454814246EA854AAF86,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DefaultTestParticleSystem,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,9771FBFBBC9D7D13DCF98A29960353A22D1BEC156F5614707BECEB2DF65FF38B,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultToGuardArea,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,4E86A07BCCC6228CC827CDED1178B3A2F446D829D3CD3F8B5ACC4E1EC08760BD,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DefaultUnitSelectBox,Building,Text,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,A6D1B8D503C669DAA86F7606C18C5817B4C262AF200C1EAFB0E5AA9CB9F1D40C,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
Deform,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,0441251CDEB274A8CC68C47A635559DE690542E034EBD6B40EB209D5D5ECCCAC,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
Deform,Weapon,Text,Yuri,auto-extracted,AutoExtracted,ShortDescription,2FF859DEE4E1B2341C06B8FE937866715891B8D6FA7C31EF5C3005C0040E915D,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DeformThreshhold,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,F907CD0069409A93D3114E0905DD8AD89B53679AE42ED565814E1BF960964DE5,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DeformThreshhold,Weapon,Boolean,Yuri,auto-extracted,AutoExtracted,RawLegacyFragment,4CD4F355EED4E1FA5DA8D105E01DB137E0016415B8F47222027FDA698A80FC52,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
Degenerates,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,D10FF7FF2887D8BBC94EBEB7A24B87AB208696DC5A6A88F42517692BE62DB52B,2,True,Projectile,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
Degenerates,Weapon,Boolean,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,DBF14C7CFC45BECFF221EC9241D1FFC08A25B0877B85B24EF68074A186BB320F,1,True,Projectile,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
Delay,Banner,Integer,Phobos,community-reference-inferred-phobos-20260603,Inferred,UniformInferredTemplate,965CF49A11209F3F424B4902AC566DB82022197F3820FC1E384145906AE32002,2,True,Sound,PromoteAndRewrite,Verified against the official Phobos Display Banner documentation; description and quality rewritten.
DelayedFireDelay,ArtObject,Text,Yuri,name-inferred-yuri-20260603,Inferred,UniformInferredTemplate,0A45DF80BB1D88FA16A877C32E7D5AF4ADF2A272657675255B45C60064C5BF46,1,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
DelayKillAtMax,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,BAB6BDB93105AAEFACF11D2661F32D91A63CF4C68200FA8D520B64A202742252,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DelayKillAtMax,Weapon,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,716E96037F727A62B0B57386BBEA8164378F0A1D36B12FA8F9D3EDA5751A8014,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DelayKillFrames,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,29BCF3B5D5AD1ECC62C54C72EC91DA00031B275E3A60B9995F3622C232F52AFB,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DelayKillFrames,Weapon,Integer,Yuri,auto-extracted,AutoExtracted,ShortDescription,34928EEADD1227EF44DA4C3D47D313C35A32E5A98F4C9C76B9151438EFCF374F,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
DeleteOnStateLimit,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,AF8CFBAADCD2DEA6D3E9D64E5647A0897342EF6039E96C8BD5FF9337B6887333,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range CustomGS..GUITabSound.
DemandLoad,ArtObject,Text,Yuri,name-inferred-yuri-20260603,Inferred,UniformInferredTemplate,535F072EA8C64907663DF84929DAF25CBA271318562B712581224BDC4A5F34AB,1,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
DemandLoadBuildup,ArtObject,Text,Yuri,name-inferred-yuri-20260603,Inferred,UniformInferredTemplate,5F4849261B8BFEC0F3993B0AFB2629C9BE878B343670702642957AAC2022B9A0,1,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
Deploy,ArtObject,Text,Yuri,name-inferred-yuri-20260603,Inferred,UniformInferredTemplate,FBBB20D1FFA7ABC8E60277C183B810F65DA3F9C887941DD0DB7A8BE2ABB66B3C,1,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
Deploy.NoPassenger,Vehicle,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
Deploy.NoTiberium,Vehicle,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
Deploy.SkipPassengerUnload,Vehicle,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
